time,x,y,burned,fuel,moisture,elevation
0,0,0,0,0.918617,0.0733739,0
0,1,0,0,0.911876,0.23874,0
0,2,0,0,0.778333,0.03999,0
0,3,0,0,0.7837,0.133483,0
0,4,0,0,0.657147,0.260355,0
0,5,0,0,0.622565,0.2888,0
0,6,0,0,0.975421,0.000311506,0
0,7,0,0,0.996885,0.246993,0
0,8,0,0,0.844661,0.00282652,0
0,9,0,0,0.609225,0.20991,0
0,10,0,0,0.759944,0.0186663,0
0,11,0,0,0.989502,0.0931085,0
0,12,0,0,0.636243,0.247354,0
0,13,0,0,0.752985,0.393292,0
0,14,0,0,0.786705,0.343976,0
0,15,0,0,0.872123,0.1802,0
0,16,0,0,0.605306,0.376881,0
0,17,0,0,0.825315,0.154167,0
0,18,0,0,0.606387,0.0923575,0
0,19,0,0,0.69641,0.273305,0
0,20,0,0,0.843999,0.333278,0
0,21,0,0,0.669346,0.156424,0
0,22,0,0,0.672894,0.302145,0
0,23,0,0,0.770062,0.0831767,0
0,24,0,0,0.82708,0.0125253,0
0,25,0,0,0.936914,0.179902,0
0,26,0,0,0.75806,0.370664,0
0,27,0,0,0.890909,0.130616,0
0,28,0,0,0.828178,0.208334,0
0,29,0,0,0.984469,0.337814,0
0,30,0,0,0.898928,0.215877,0
0,31,0,0,0.8347,0.386102,0
0,32,0,0,0.842814,0.1104,0
0,33,0,0,0.718509,0.0661068,0
0,34,0,0,0.606255,0.169361,0
0,35,0,0,0.757953,0.117395,0
0,36,0,0,0.605632,0.079537,0
0,37,0,0,0.884537,0.31607,0
0,38,0,0,0.842384,0.37052,0
0,39,0,0,0.860431,0.365984,0
0,0,1,0,0.940015,0.17978,0
0,1,1,0,0.638164,0.148327,0
0,2,1,0,0.867537,0.266369,0
0,3,1,0,0.836519,0.109889,0
0,4,1,0,0.824497,0.153171,0
0,5,1,0,0.988685,0.339566,0
0,6,1,0,0.888692,0.094394,0
0,7,1,0,0.702427,0.0161734,0
0,8,1,0,0.884265,0.0443563,0
0,9,1,0,0.775735,0.0806877,0
0,10,1,0,0.958305,0.190148,0
0,11,1,0,0.82531,0.278206,0
0,12,1,0,0.655733,0.241767,0
0,13,1,0,0.815936,0.0812245,0
0,14,1,0,0.977141,0.239546,0
0,15,1,0,0.877914,0.352187,0
0,16,1,0,0.849742,0.118253,0
0,17,1,0,0.642198,0.182614,0
0,18,1,0,0.687376,0.166604,0
0,19,1,0,0.953312,0.129738,0
0,20,1,0,0.648835,0.142519,0
0,21,1,0,0.962731,0.108853,0
0,22,1,0,0.859076,0.000208151,0
0,23,1,0,0.741028,0.121913,0
0,24,1,0,0.665862,0.213636,0
0,25,1,0,0.793932,0.276974,0
0,26,1,0,0.707765,0.0976502,0
0,27,1,0,0.667316,0.0875057,0
0,28,1,0,0.823241,0.161534,0
0,29,1,0,0.625957,0.101566,0
0,30,1,0,0.69875,0.278522,0
0,31,1,0,0.884908,0.0592348,0
0,32,1,0,0.999096,0.106712,0
0,33,1,0,0.990646,0.164415,0
0,34,1,0,0.61322,0.138028,0
0,35,1,0,0.853741,0.272282,0
0,36,1,0,0.812374,0.179113,0
0,37,1,0,0.821157,0.237079,0
0,38,1,0,0.632341,0.147862,0
0,39,1,0,0.696864,0.321256,0
0,0,2,0,0.78812,0.393369,0
0,1,2,0,0.75953,0.326573,0
0,2,2,0,0.919338,0.060287,0
0,3,2,0,0.80328,0.278325,0
0,4,2,0,0.943344,0.130384,0
0,5,2,0,0.688096,0.28446,0
0,6,2,0,0.9238,0.139466,0
0,7,2,0,0.638471,0.376209,0
0,8,2,0,0.759029,0.207101,0
0,9,2,0,0.935084,0.270276,0
0,10,2,0,0.894086,0.0836286,0
0,11,2,0,0.816579,0.278314,0
0,12,2,0,0.69142,0.069982,0
0,13,2,0,0.992867,0.206654,0
0,14,2,0,0.704332,0.398501,0
0,15,2,0,0.986168,0.223317,0
0,16,2,0,0.953055,0.0754828,0
0,17,2,0,0.711549,0.280143,0
0,18,2,0,0.938664,0.34253,0
0,19,2,0,0.761803,0.355108,0
0,20,2,0,0.940371,0.374254,0
0,21,2,0,0.914136,0.267595,0
0,22,2,0,0.832275,0.148913,0
0,23,2,0,0.976053,0.389466,0
0,24,2,0,0.713568,0.122146,0
0,25,2,0,0.794245,0.17937,0
