time;model_id;model_name;port_name;data
0;41;r5_c37;;{state:1,fuel:3,elev:345.9,moist:0.18,intensity:0,burn:0}
0;42;r5_c32;;{state:1,fuel:3,elev:368.6,moist:0.18,intensity:0,burn:0}
0;43;r44_c21;;{state:1,fuel:3,elev:430,moist:0.18,intensity:0,burn:0}
0;44;r5_c31;;{state:1,fuel:3,elev:373.5,moist:0.18,intensity:0,burn:0}
0;45;r5_c27;;{state:1,fuel:3,elev:395.1,moist:0.18,intensity:0,burn:0}
0;46;r5_c23;;{state:1,fuel:3,elev:418.3,moist:0.18,intensity:0,burn:0}
0;47;r5_c2;;{state:1,fuel:3,elev:523.7,moist:0.18,intensity:0,burn:0}
0;48;r26_c9;;{state:1,fuel:1,elev:493.1,moist:0.1,intensity:0,burn:0}
0;49;r5_c18;;{state:1,fuel:3,elev:438.7,moist:0.18,intensity:0,burn:0}
0;50;r19_c16;;{state:1,fuel:3,elev:429.9,moist:0.6,intensity:0,burn:0}
0;51;r25_c47;;{state:1,fuel:0,elev:297.8,moist:1,intensity:0,burn:0}
0;52;r5_c16;;{state:1,fuel:3,elev:441.6,moist:0.18,intensity:0,burn:0}
0;53;r2_c45;;{state:1,fuel:3,elev:306.4,moist:0.18,intensity:0,burn:0}
0;54;r5_c14;;{state:1,fuel:3,elev:443.3,moist:0.18,intensity:0,burn:0}
0;55;r33_c49;;{state:1,fuel:3,elev:293.2,moist:0.18,intensity:0,burn:0}
0;56;r5_c13;;{state:1,fuel:3,elev:444.8,moist:0.18,intensity:0,burn:0}
0;57;r13_c6;;{state:1,fuel:3,elev:505.8,moist:0.18,intensity:0,burn:0}
0;58;r48_c16;;{state:1,fuel:3,elev:456.8,moist:0.18,intensity:0,burn:0}
0;59;r5_c12;;{state:1,fuel:3,elev:447.4,moist:0.6,intensity:0,burn:0}
0;60;r38_c43;;{state:1,fuel:2,elev:316.4,moist:0.55,intensity:0,burn:0}
0;61;r7_c7;;{state:1,fuel:3,elev:486.7,moist:0.18,intensity:0,burn:0}
0;62;r5_c0;;{state:1,fuel:3,elev:530.4,moist:0.18,intensity:0,burn:0}
0;63;r4_c9;;{state:1,fuel:0,elev:462.9,moist:1,intensity:0,burn:0}
0;64;r4_c6;;{state:1,fuel:3,elev:489.1,moist:0.18,intensity:0,burn:0}
0;65;r4_c5;;{state:1,fuel:3,elev:498.6,moist:0.18,intensity:0,burn:0}
0;66;r35_c32;;{state:1,fuel:2,elev:356.3,moist:0.55,intensity:0,burn:0}
0;67;r4_c49;;{state:1,fuel:3,elev:293.2,moist:0.18,intensity:0,burn:0}
0;68;r22_c3;;{state:1,fuel:3,elev:523.4,moist:0.18,intensity:0,burn:0}
0;69;r4_c44;;{state:1,fuel:3,elev:311.3,moist:0.18,intensity:0,burn:0}
0;70;r4_c4;;{state:1,fuel:3,elev:507.7,moist:0.18,intensity:0,burn:0}
0;71;r4_c37;;{state:1,fuel:3,elev:346.4,moist:0.18,intensity:0,burn:0}
0;72;r4_c32;;{state:1,fuel:3,elev:370,moist:0.18,intensity:0,burn:0}
0;73;r38_c42;;{state:1,fuel:2,elev:321.5,moist:0.55,intensity:0,burn:0}
0;74;r4_c30;;{state:1,fuel:3,elev:380.1,moist:0.18,intensity:0,burn:0}
0;75;r27_c15;;{state:1,fuel:1,elev:456.2,moist:0.1,intensity:0,burn:0}
0;76;r4_c3;;{state:1,fuel:3,elev:515.9,moist:0.18,intensity:0,burn:0}
0;77;r4_c29;;{state:1,fuel:3,elev:385.3,moist:0.18,intensity:0,burn:0}
0;78;r4_c27;;{state:1,fuel:3,elev:396.4,moist:0.18,intensity:0,burn:0}
0;79;r4_c26;;{state:1,fuel:3,elev:402.1,moist:0.18,intensity:0,burn:0}
0;80;r4_c25;;{state:1,fuel:3,elev:407.8,moist:0.18,intensity:0,burn:0}
0;81;r4_c23;;{state:1,fuel:3,elev:419,moist:0.18,intensity:0,burn:0}
0;82;r4_c20;;{state:1,fuel:3,elev:433.7,moist:0.18,intensity:0,burn:0}
0;83;r40_c20;;{state:1,fuel:3,elev:434.2,moist:0.18,intensity:0,burn:0}
0;84;r4_c17;;{state:1,fuel:3,elev:442.5,moist:0.18,intensity:0,burn:0}
0;85;r4_c1;;{state:1,fuel:3,elev:527.3,moist:0.18,intensity:0,burn:0}
0;86;r49_c48;;{state:1,fuel:2,elev:294.8,moist:0.55,intensity:0,burn:0}
0;87;r49_c38;;{state:1,fuel:2,elev:321.1,moist:0.55,intensity:0,burn:0}
0;88;r49_c37;;{state:1,fuel:2,elev:321.8,moist:0.55,intensity:0,burn:0}
